message_id,ticket_id,recipient,body,body_deterministic,polished,status,approved_by,sent_at,created_at,citations
MSG-TKT-0001,TKT-0001,Apex Chemicals coordinator,"Update on your shipment (ref TKT-0001): the assigned vehicle experienced a breakdown (brake failure warning), assessed as medium severity. A replacement vehicle has been dispatched from our Lucknow hub and the delivery plan has been adjusted accordingly. A different vehicle is being used for this dispatch, consistent with our post-incident rotation practice. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0001): the assigned vehicle experienced a breakdown (brake failure warning), assessed as medium severity. A replacement vehicle has been dispatched from our Lucknow hub and the delivery plan has been adjusted accordingly. A different vehicle is being used for this dispatch, consistent with our post-incident rotation practice. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.852532,"[""work_orders#TKT-0001"", ""classifications#TKT-0001"", ""rules: [\""R-06\""]""]"
MSG-TKT-0002,TKT-0002,Shakti Cement coordinator,"Update on your shipment (ref TKT-0002): the assigned vehicle experienced a breakdown (engine overheating), assessed as high severity. A replacement vehicle has been dispatched from our Delhi hub and the delivery plan has been adjusted accordingly. Delivery is being replanned to our internal 36-hour commitment, not the 48-hour contract figure (per standing agreement). We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0002): the assigned vehicle experienced a breakdown (engine overheating), assessed as high severity. A replacement vehicle has been dispatched from our Delhi hub and the delivery plan has been adjusted accordingly. Delivery is being replanned to our internal 36-hour commitment, not the 48-hour contract figure (per standing agreement). We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.859544,"[""work_orders#TKT-0002"", ""classifications#TKT-0002"", ""rules: [\""R-04\"", \""R-08\""]""]"
MSG-TKT-0003,TKT-0003,Vertex Retail coordinator,"Update on your shipment (ref TKT-0003): the assigned vehicle experienced a breakdown (gearbox jam), assessed as high severity. A replacement vehicle has been dispatched from our Ludhiana hub and the delivery plan has been adjusted accordingly. If the revised arrival falls after 18:00 at the Ludhiana gate, this will be scheduled as a next-morning delivery at 08:00, not marked as a failed delivery, per our standing arrangement. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0003): the assigned vehicle experienced a breakdown (gearbox jam), assessed as high severity. A replacement vehicle has been dispatched from our Ludhiana hub and the delivery plan has been adjusted accordingly. If the revised arrival falls after 18:00 at the Ludhiana gate, this will be scheduled as a next-morning delivery at 08:00, not marked as a failed delivery, per our standing arrangement. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.850087,"[""work_orders#TKT-0003"", ""classifications#TKT-0003"", ""rules: [\""R-05\"", \""R-08\""]""]"
MSG-TKT-0004,TKT-0004,Vertex Retail coordinator,"Update on your shipment (ref TKT-0004): the assigned vehicle experienced a breakdown (clutch slipping), assessed as low severity. A replacement vehicle has been dispatched from our Ludhiana hub and the delivery plan has been adjusted accordingly. If the revised arrival falls after 18:00 at the Ludhiana gate, this will be scheduled as a next-morning delivery at 08:00, not marked as a failed delivery, per our standing arrangement. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0004): the assigned vehicle experienced a breakdown (clutch slipping), assessed as low severity. A replacement vehicle has been dispatched from our Ludhiana hub and the delivery plan has been adjusted accordingly. If the revised arrival falls after 18:00 at the Ludhiana gate, this will be scheduled as a next-morning delivery at 08:00, not marked as a failed delivery, per our standing arrangement. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.856549,"[""work_orders#TKT-0004"", ""classifications#TKT-0004"", ""rules: [\""R-05\""]""]"
MSG-TKT-0005,TKT-0005,Orion Pharma coordinator,"Update on your shipment (ref TKT-0005): the assigned vehicle experienced a breakdown (clutch slipping), assessed as high severity. A replacement vehicle has been dispatched from our Rudrapur hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0005): the assigned vehicle experienced a breakdown (clutch slipping), assessed as high severity. A replacement vehicle has been dispatched from our Rudrapur hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.851434,"[""work_orders#TKT-0005"", ""classifications#TKT-0005"", ""rules: [\""R-07\"", \""R-08\""]""]"
MSG-TKT-0006,TKT-0006,Orion Pharma coordinator,"Update on your shipment (ref TKT-0006): the assigned vehicle experienced a breakdown (tyre burst), assessed as high severity. A replacement vehicle has been dispatched from our Ludhiana hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0006): the assigned vehicle experienced a breakdown (tyre burst), assessed as high severity. A replacement vehicle has been dispatched from our Ludhiana hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.857543,"[""work_orders#TKT-0006"", ""classifications#TKT-0006"", ""rules: [\""R-07\""]""]"
MSG-TKT-0008,TKT-0008,Vertex Retail coordinator,"Update on your shipment (ref TKT-0008): the assigned vehicle experienced a breakdown (radiator leak), assessed as high severity. A replacement vehicle has been dispatched from our Ludhiana hub and the delivery plan has been adjusted accordingly. If the revised arrival falls after 18:00 at the Ludhiana gate, this will be scheduled as a next-morning delivery at 08:00, not marked as a failed delivery, per our standing arrangement. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0008): the assigned vehicle experienced a breakdown (radiator leak), assessed as high severity. A replacement vehicle has been dispatched from our Ludhiana hub and the delivery plan has been adjusted accordingly. If the revised arrival falls after 18:00 at the Ludhiana gate, this will be scheduled as a next-morning delivery at 08:00, not marked as a failed delivery, per our standing arrangement. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.858535,"[""work_orders#TKT-0008"", ""classifications#TKT-0008"", ""rules: [\""R-05\""]""]"
MSG-TKT-0009,TKT-0009,Apex Chemicals coordinator,"Update on your shipment (ref TKT-0009): the assigned vehicle experienced a breakdown (suspension damage), assessed as low severity. A replacement vehicle has been dispatched from our Chandigarh hub and the delivery plan has been adjusted accordingly. A different vehicle is being used for this dispatch, consistent with our post-incident rotation practice. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0009): the assigned vehicle experienced a breakdown (suspension damage), assessed as low severity. A replacement vehicle has been dispatched from our Chandigarh hub and the delivery plan has been adjusted accordingly. A different vehicle is being used for this dispatch, consistent with our post-incident rotation practice. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.845186,"[""work_orders#TKT-0009"", ""classifications#TKT-0009"", ""rules: [\""R-06\""]""]"
MSG-TKT-0010,TKT-0010,Apex Chemicals coordinator,"Update on your shipment (ref TKT-0010): the assigned vehicle experienced a breakdown (gearbox jam), assessed as low severity. A replacement vehicle has been dispatched from our Kanpur hub and the delivery plan has been adjusted accordingly. A different vehicle is being used for this dispatch, consistent with our post-incident rotation practice. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0010): the assigned vehicle experienced a breakdown (gearbox jam), assessed as low severity. A replacement vehicle has been dispatched from our Kanpur hub and the delivery plan has been adjusted accordingly. A different vehicle is being used for this dispatch, consistent with our post-incident rotation practice. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.848195,"[""work_orders#TKT-0010"", ""classifications#TKT-0010"", ""rules: [\""R-06\""]""]"
MSG-TKT-0011,TKT-0011,Orion Pharma coordinator,"Update on your shipment (ref TKT-0011): the assigned vehicle experienced a breakdown (clutch slipping), assessed as high severity. A replacement vehicle has been dispatched from our Gurgaon hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0011): the assigned vehicle experienced a breakdown (clutch slipping), assessed as high severity. A replacement vehicle has been dispatched from our Gurgaon hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.849106,"[""work_orders#TKT-0011"", ""classifications#TKT-0011"", ""rules: [\""R-07\"", \""R-08\""]""]"
